State,Year,Estimate (%)
Region 6,2016-17,41.6
Region 7,2016-17,45.8
Region 8,2016-17,46.5
Region 9,2016-17,44.9
Rhode Island,2016-17,52.6
South Carolina,2016-17,46.2
South Dakota,2016-17,54.1
Tennessee,2016-17,42.4
Texas,2016-17,40.1
Region 10,2016-17,42.7
Utah,2016-17,45.6
Vermont,2016-17,47.2
Virginia,2016-17,48.1
Washington,2016-17,48.9
West Virginia,2016-17,50.3
Wisconsin,2016-17,39.9
Wyoming,2016-17,38.6
Alabama,2016-17,47.5
Alaska,2016-17,38
Arizona,2016-17,42.5
Arkansas,2016-17,43.1
California,2016-17,45.7
Colorado,2016-17,49.7
Connecticut,2016-17,47.3
Delaware,2016-17,52.8
District of Columbia,2016-17,50.6
Florida,2016-17,36
Georgia,2016-17,42.3
Hawaii,2016-17,47
Idaho,2016-17,37.4
Illinois,2016-17,41.2
Indiana,2016-17,44.9
Iowa,2016-17,50.8
Kansas,2016-17,42.2
Kentucky,2016-17,46.5
Louisiana,2016-17,38.7
Maine,2016-17,48.3
Maryland,2016-17,50.9
Massachusetts,2016-17,47.4
Michigan,2016-17,41.9
Minnesota,2016-17,50.3
Mississippi,2016-17,35.2
Missouri,2016-17,43
Montana,2016-17,39.3
Nebraska,2016-17,51.8
Nevada,2016-17,38.8
New Hampshire,2016-17,45.2
New Jersey,2016-17,43.3
New Mexico,2016-17,47.6
New York,2016-17,46.7
North Carolina,2016-17,50.8
North Dakota,2016-17,42.1
Ohio,2016-17,47.7
Oklahoma,2016-17,51.9
Oregon,2016-17,34.9
Pennsylvania,2016-17,50.6
United States,2016-17,44.9
Region 1,2016-17,47.7
Region 2,2016-17,45.7
Region 3,2016-17,50.5
Region 4,2016-17,42.7
Region 5,2016-17,44
Region 6,2016-17,42
Region 7,2016-17,45.8
Region 8,2016-17,47
Region 9,2016-17,44.9
Rhode Island,2016-17,52.9
South Carolina,2016-17,46.9
South Dakota,2016-17,54.1
Tennessee,2016-17,45.1
Texas,2016-17,40.3
Region 10,2016-17,43
Utah,2016-17,45.6
Vermont,2016-17,47.9
Virginia,2016-17,49.4
Washington,2016-17,49.7
West Virginia,2016-17,50.6
Wisconsin,2016-17,40.7
Wyoming,2016-17,38.6
Alabama,2016-17,47.5
Alaska,2016-17,38
Arizona,2016-17,42.5
Arkansas,2016-17,46.9
California,2016-17,45.7
Colorado,2016-17,50
Connecticut,2016-17,47.9
Delaware,2016-17,52.8
District of Columbia,2016-17,50.6
Florida,2016-17,36.6
Georgia,2016-17,42.3
Hawaii,2016-17,48.9
Idaho,2016-17,37.4
Illinois,2016-17,41.2
Indiana,2016-17,45.2
Iowa,2016-17,50.8
Kansas,2016-17,42.3
Kentucky,2016-17,46.7
Louisiana,2016-17,39
Maine,2016-17,48.3
Maryland,2016-17,52
Massachusetts,2016-17,47.4
Michigan,2016-17,41.9
Minnesota,2016-17,51.1
Mississippi,2016-17,35.2
Missouri,2016-17,43
Montana,2016-17,39.3
Nebraska,2016-17,52.8
Nevada,2016-17,38.8
New Hampshire,2016-17,45.2
New Jersey,2016-17,45.4
New Mexico,2016-17,47.6
New York,2016-17,47
North Carolina,2016-17,50.8
North Dakota,2016-17,42.1
Ohio,2016-17,47.7
Oklahoma,2016-17,51.9
Oregon,2016-17,37.9
Pennsylvania,2016-17,50.9
United States,2016-17,45.4
Region 1,2016-17,47.8
Region 2,2016-17,46.9
Region 3,2016-17,51.2
Region 4,2016-17,43
Region 5,2016-17,44.1
Region 6,2016-17,43.2
Region 7,2016-17,46.1
Region 8,2016-17,47.1
Region 9,2016-17,45
Rhode Island,2016-17,52.9
South Carolina,2016-17,46.9
South Dakota,2016-17,54.1
Tennessee,2016-17,45.1
Texas,2016-17,41.9
Region 10,2016-17,44
Utah,2016-17,45.6
Vermont,2016-17,47.9
Virginia,2016-17,50.9
Washington,2016-17,49.7
West Virginia,2016-17,51
Wisconsin,2016-17,40.7
Wyoming,2016-17,38.6
Alabama,2017-18,NR †
Arizona,2017-18,NR †
California,2017-18,0.4
Colorado,2017-18,NR †
Delaware,2017-18,NR †
District of Columbia,2017-18,NR †
Florida,2017-18,NR †
Georgia,2017-18,NR †
Hawaii,2017-18,NR †
Idaho,2017-18,NR †
Illinois,2017-18,NR †
Indiana,2017-18,NR †
Kentucky,2017-18,NR †
Louisiana,2017-18,NR †
Maryland,2017-18,NR †
Massachusetts,2017-18,NR †
Mississippi,2017-18,0.1
Missouri,2017-18,NR †
Nebraska,2017-18,NR †
Nevada,2017-18,NR †
New Jersey,2017-18,NR †
New Mexico,2017-18,NR †
Ohio,2017-18,NR †
Oklahoma,2017-18,NR †
Oregon,2017-18,NR †
Pennsylvania,2017-18,NR †
United States,2017-18,0.2
Region 1,2017-18,NR †
Region 2,2017-18,0.1
Region 3,2017-18,NR †
Region 4,2017-18,NR †
Region 5,2017-18,0.1
Region 6,2017-18,NR †
Region 7,2017-18,NR †
Region 8,2017-18,NR †
Region 9,2017-18,0.4
South Carolina,2017-18,NR †
Texas,2017-18,NR †
Region 10,2017-18,NR †
Utah,2017-18,NR †
Vermont,2017-18,NR †
Virginia,2017-18,NR †
Washington,2017-18,0.1
Wyoming,2017-18,NR †
Alabama,2017-18,NR †
Alaska,2017-18,NR †
Arizona,2017-18,1.4
Arkansas,2017-18,NR †
California,2017-18,1.6
Colorado,2017-18,1
Connecticut,2017-18,NR †
Delaware,2017-18,1.5
District of Columbia,2017-18,3.1
Florida,2017-18,NR †
Georgia,2017-18,1.1
Hawaii,2017-18,2.8
Idaho,2017-18,NR †
Illinois,2017-18,NR †
Indiana,2017-18,0.8
Iowa,2017-18,0.8
Kansas,2017-18,0.7
Kentucky,2017-18,1.8
Louisiana,2017-18,NR †
Maine,2017-18,0.8
Maryland,2017-18,1.1
Massachusetts,2017-18,NR †
Michigan,2017-18,0.7
Minnesota,2017-18,0.9
Mississippi,2017-18,NR †
Missouri,2017-18,1.2
Montana,2017-18,NR †
Nebraska,2017-18,1
Nevada,2017-18,NR †
New Hampshire,2017-18,NR †
New Jersey,2017-18,1.1
New Mexico,2017-18,NR †
New York,2017-18,1.3
North Carolina,2017-18,1.6
North Dakota,2017-18,NR †
Ohio,2017-18,1.8
Oklahoma,2017-18,NR †
Oregon,2017-18,NR †
Pennsylvania,2017-18,NR †
United States,2017-18,1.2
Region 1,2017-18,0.9
Region 2,2017-18,1.2
Region 3,2017-18,1.1
Region 4,2017-18,1.2
Region 5,2017-18,1.1
Region 6,2017-18,1.5
Region 7,2017-18,1
Region 8,2017-18,0.9
Region 9,2017-18,1.7
Rhode Island,2017-18,NR †
South Carolina,2017-18,0.7
South Dakota,2017-18,NR †
Tennessee,2017-18,NR †
Texas,2017-18,NR †
Region 10,2017-18,1.1
Utah,2017-18,1.2
Vermont,2017-18,NR †
Virginia,2017-18,1.2
Washington,2017-18,0.9
West Virginia,2017-18,1.4
Wisconsin,2017-18,NR †
Wyoming,2017-18,NR †
Alabama,2017-18,6.3
Alaska,2017-18,6.8
Arizona,2017-18,7.7
Arkansas,2017-18,4.7
California,2017-18,8.7
Colorado,2017-18,7.1
Connecticut,2017-18,5.8
Delaware,2017-18,9.7
District of Columbia,2017-18,15.6
Florida,2017-18,4.8
Georgia,2017-18,6.7
Hawaii,2017-18,8.4
Idaho,2017-18,5
Illinois,2017-18,6.7
Indiana,2017-18,7.3
Iowa,2017-18,6.4
Kansas,2017-18,7.3
Kentucky,2017-18,8.3
Louisiana,2017-18,6.4
Maine,2017-18,7.7
Maryland,2017-18,8.2
Massachusetts,2017-18,9.8
Michigan,2017-18,6.9
Minnesota,2017-18,8.1
Mississippi,2017-18,6.8
Missouri,2017-18,6.9
Montana,2017-18,7.2
Nebraska,2017-18,5.6
Nevada,2017-18,8.8
New Hampshire,2017-18,7.9
New Jersey,2017-18,8.1
New Mexico,2017-18,7.6
New York,2017-18,7.7
North Carolina,2017-18,7
North Dakota,2017-18,3.9
Ohio,2017-18,8.6
Oklahoma,2017-18,8.1
Oregon,2017-18,7.2
Pennsylvania,2017-18,7.9
United States,2017-18,7.3
Region 1,2017-18,8.1
Region 2,2017-18,7.8
Region 3,2017-18,8.4
Region 4,2017-18,6.1
Region 5,2017-18,7.2
Region 6,2017-18,6.7
Region 7,2017-18,6.7
Region 8,2017-18,6.7
Region 9,2017-18,8.6
Rhode Island,2017-18,7.3
South Carolina,2017-18,6.5
South Dakota,2017-18,4.5
Tennessee,2017-18,5.8
Texas,2017-18,6.7
Region 10,2017-18,7.9
Utah,2017-18,7.9
Vermont,2017-18,5.4
Virginia,2017-18,9.3
Washington,2017-18,9
West Virginia,2017-18,6.9
Wisconsin,2017-18,4.7
Wyoming,2017-18,3.8
Alabama,2017-18,22.8
Alaska,2017-18,21.5
Arizona,2017-18,21.8
Arkansas,2017-18,24
California,2017-18,21.4
Colorado,2017-18,26
Connecticut,2017-18,25.6
Delaware,2017-18,30.7
District of Columbia,2017-18,31
Florida,2017-18,17.8
Georgia,2017-18,21.1
Hawaii,2017-18,21.3
Idaho,2017-18,19.4
Illinois,2017-18,23.1
Indiana,2017-18,22.5
Iowa,2017-18,29.1
Kansas,2017-18,26.2
Kentucky,2017-18,27.3
Louisiana,2017-18,21.2
Maine,2017-18,22.7
Maryland,2017-18,26.7
Massachusetts,2017-18,24.6
Michigan,2017-18,22
Minnesota,2017-18,29.7
Mississippi,2017-18,23.4
Missouri,2017-18,24
Montana,2017-18,26.1
Nebraska,2017-18,27
Nevada,2017-18,20.5
New Hampshire,2017-18,26.2
New Jersey,2017-18,26.1
New Mexico,2017-18,22.2
New York,2017-18,21.3
North Carolina,2017-18,28.6
North Dakota,2017-18,25.9
Ohio,2017-18,25.9
Oklahoma,2017-18,28.7
Oregon,2017-18,25.5
Pennsylvania,2017-18,28.6
United States,2017-18,23.6
Region 1,2017-18,24.8
Region 2,2017-18,23
Region 3,2017-18,28.5
Region 4,2017-18,22.2
Region 5,2017-18,23.9
Region 6,2017-18,21
Region 7,2017-18,25.9
Region 8,2017-18,26.1
Region 9,2017-18,21.4
Rhode Island,2017-18,25.7
South Carolina,2017-18,25.4
South Dakota,2017-18,29
Tennessee,2017-18,20.1
Texas,2017-18,19.5
Region 10,2017-18,26.7
Utah,2017-18,26.4
Vermont,2017-18,22.8
Virginia,2017-18,29.8
Washington,2017-18,29.7
West Virginia,2017-18,26.7
Wisconsin,2017-18,20.1
Wyoming,2017-18,22.3
Alabama,2017-18,31.2
Alaska,2017-18,26.4
Arizona,2017-18,28.5
Arkansas,2017-18,31
California,2017-18,28.7
Colorado,2017-18,33.4
Connecticut,2017-18,34.6
Delaware,2017-18,39.1
District of Columbia,2017-18,46.9
Florida,2017-18,23.6
Georgia,2017-18,29.2
Hawaii,2017-18,27.4
Idaho,2017-18,27.5
Illinois,2017-18,28.5
Indiana,2017-18,29.8
Iowa,2017-18,37.9
Kansas,2017-18,33.1
Kentucky,2017-18,34.5
Louisiana,2017-18,26.1
Maine,2017-18,30.5
Maryland,2017-18,35.4
Massachusetts,2017-18,34.7
Michigan,2017-18,31
Minnesota,2017-18,39.7
Mississippi,2017-18,31.4
Missouri,2017-18,31.4
Montana,2017-18,31.3
Nebraska,2017-18,36.2
Nevada,2017-18,25.7
New Hampshire,2017-18,35.3
New Jersey,2017-18,34.7
New Mexico,2017-18,30.1
New York,2017-18,27.6
North Carolina,2017-18,38.9
North Dakota,2017-18,36.5
Ohio,2017-18,33.4
Oklahoma,2017-18,37.7
Oregon,2017-18,34.2
Pennsylvania,2017-18,35.2
United States,2017-18,31
Region 1,2017-18,34.3
Region 2,2017-18,30.1
Region 3,2017-18,36.3
Region 4,2017-18,29.8
Region 5,2017-18,31.3
Region 6,2017-18,27
Region 7,2017-18,33.7
Region 8,2017-18,33.7
Region 9,2017-18,28.4
Rhode Island,2017-18,35.4
South Carolina,2017-18,33.9
South Dakota,2017-18,40.4
Tennessee,2017-18,27.3
Texas,2017-18,24.8
Region 10,2017-18,35.3
Utah,2017-18,33.2
Vermont,2017-18,34.2
Virginia,2017-18,38.3
Washington,2017-18,38.7
West Virginia,2017-18,36.4
Wisconsin,2017-18,26.6
Wyoming,2017-18,28.8
Alabama,2017-18,34.1
Alaska,2017-18,29.7
Arizona,2017-18,31.8
Arkansas,2017-18,33.6
California,2017-18,32
Colorado,2017-18,35.9
Connecticut,2017-18,37.9
Delaware,2017-18,42.1
District of Columbia,2017-18,NR
Florida,2017-18,26.1
Georgia,2017-18,32.9
Hawaii,2017-18,29.5
Idaho,2017-18,28.7
Illinois,2017-18,31.8
Indiana,2017-18,31.1
Iowa,2017-18,40.7
Kansas,2017-18,35.2
Kentucky,2017-18,38.9
Louisiana,2017-18,27.6
Maine,2017-18,33.1
Maryland,2017-18,38.7
Massachusetts,2017-18,38.8
Michigan,2017-18,33.3
Minnesota,2017-18,42.7
Mississippi,2017-18,34
Missouri,2017-18,33.1
Montana,2017-18,35.1
Nebraska,2017-18,39.1
Nevada,2017-18,29.9
New Hampshire,2017-18,37.6
New Jersey,2017-18,38.5
New Mexico,2017-18,33.9
New York,2017-18,30.3
North Carolina,2017-18,40.3
North Dakota,2017-18,37.5
Ohio,2017-18,35.8
Oklahoma,2017-18,40.5
Oregon,2017-18,35.6
Pennsylvania,2017-18,36
United States,2017-18,33.8
Region 1,2017-18,37.9
Region 2,2017-18,33.2
Region 3,2017-18,38.8
Region 4,2017-18,32.4
Region 5,2017-18,33.9
Region 6,2017-18,30.2
Region 7,2017-18,35.9
Region 8,2017-18,36.1
Region 9,2017-18,31.7
Rhode Island,2017-18,39.3
South Carolina,2017-18,36.8
South Dakota,2017-18,41.7
Tennessee,2017-18,28.3
Texas,2017-18,28.4
Region 10,2017-18,37.3
Utah,2017-18,35.4
Vermont,2017-18,37.8
Virginia,2017-18,42.5
Washington,2017-18,41.1
West Virginia,2017-18,39
Wisconsin,2017-18,29.9
Wyoming,2017-18,31.6
Alabama,2017-18,39.1
Alaska,2017-18,32.4
Arizona,2017-18,33.3
Arkansas,2017-18,35.5
California,2017-18,36.3
Colorado,2017-18,38.7
Connecticut,2017-18,40.9
Delaware,2017-18,45.3
District of Columbia,2017-18,NR
Florida,2017-18,28.9
Georgia,2017-18,36.7
Hawaii,2017-18,32.5
Idaho,2017-18,29.6
Illinois,2017-18,35
Indiana,2017-18,33.4
Iowa,2017-18,43
Kansas,2017-18,37.2
Kentucky,2017-18,41.1
Louisiana,2017-18,32.8
Maine,2017-18,34.8
Maryland,2017-18,41.9
Massachusetts,2017-18,42
Michigan,2017-18,35.7
Minnesota,2017-18,44.7
Mississippi,2017-18,35.7
Missouri,2017-18,36.5
Montana,2017-18,39.2
Nebraska,2017-18,41.4
Nevada,2017-18,33.5
New Hampshire,2017-18,39.6
New Jersey,2017-18,41.3
New Mexico,2017-18,39
New York,2017-18,33.3
North Carolina,2017-18,42.3
North Dakota,2017-18,40.1
Ohio,2017-18,38.9
Oklahoma,2017-18,43.4
Oregon,2017-18,37.7
Pennsylvania,2017-18,39.3
United States,2017-18,36.7
Region 1,2017-18,40.6
Region 2,2017-18,36.1
Region 3,2017-18,41.7
Region 4,2017-18,35.3
Region 5,2017-18,36.5
Region 6,2017-18,32.6
Region 7,2017-18,38.7
Region 8,2017-18,38.6
Region 9,2017-18,35.6
Rhode Island,2017-18,41.5
South Carolina,2017-18,41
South Dakota,2017-18,43.5
Tennessee,2017-18,30.4
Texas,2017-18,30.1
Region 10,2017-18,39.8
Utah,2017-18,37
Vermont,2017-18,40
Virginia,2017-18,44.5
Washington,2017-18,44.1
West Virginia,2017-18,41.2
Wisconsin,2017-18,31.5
Wyoming,2017-18,33.3
Alabama,2017-18,40.4
Alaska,2017-18,33
Arizona,2017-18,34.5
Arkansas,2017-18,37
California,2017-18,38
Colorado,2017-18,40.2
Connecticut,2017-18,41.8
Delaware,2017-18,46.7
District of Columbia,2017-18,NR
Florida,2017-18,31.4
Georgia,2017-18,38.2
Hawaii,2017-18,35.4
Idaho,2017-18,33
Illinois,2017-18,35.2
Indiana,2017-18,34.7
Iowa,2017-18,44.1
Kansas,2017-18,38.7
Kentucky,2017-18,43.3
Louisiana,2017-18,35.6
Maine,2017-18,35.4
Maryland,2017-18,44.1
Massachusetts,2017-18,44
Michigan,2017-18,37.6
Minnesota,2017-18,46.1
Mississippi,2017-18,37.3
Missouri,2017-18,37.2
Montana,2017-18,42.2
Nebraska,2017-18,42.6
Nevada,2017-18,34.6
New Hampshire,2017-18,40.8
New Jersey,2017-18,43.7
New Mexico,2017-18,42
New York,2017-18,35.4
North Carolina,2017-18,43.2
North Dakota,2017-18,40.5
Ohio,2017-18,40.5
Oklahoma,2017-18,44.4
Oregon,2017-18,39.4
Pennsylvania,2017-18,40.5
United States,2017-18,38.3
Region 1,2017-18,42.2
Region 2,2017-18,38.3
Region 3,2017-18,43.3
Region 4,2017-18,37.1
Region 5,2017-18,37.7
Region 6,2017-18,34.1
Region 7,2017-18,39.7
Region 8,2017-18,40
Region 9,2017-18,37.3
Rhode Island,2017-18,43.8
South Carolina,2017-18,42.7
South Dakota,2017-18,44.1
Tennessee,2017-18,32.2
Texas,2017-18,31.3
Region 10,2017-18,41.4
Utah,2017-18,37.9
Vermont,2017-18,41
Virginia,2017-18,46.2
Washington,2017-18,45.4
West Virginia,2017-18,44.1
Wisconsin,2017-18,32.2
Wyoming,2017-18,34.3
Alabama,2017-18,41
Alaska,2017-18,33.7
Arizona,2017-18,34.9
Arkansas,2017-18,38
California,2017-18,38.6
Colorado,2017-18,40.6
Connecticut,2017-18,42.9
Delaware,2017-18,46.7
District of Columbia,2017-18,NR
Florida,2017-18,32.6
Georgia,2017-18,38.6
Hawaii,2017-18,36
Idaho,2017-18,33.4
Illinois,2017-18,36.4
Indiana,2017-18,35.3
Iowa,2017-18,44.2
Kansas,2017-18,39.7
Kentucky,2017-18,43.7
Louisiana,2017-18,35.9
Maine,2017-18,35.7
Maryland,2017-18,45
Massachusetts,2017-18,44.1
Michigan,2017-18,38.2
Minnesota,2017-18,46.5
Mississippi,2017-18,38
Missouri,2017-18,37.6
Montana,2017-18,42.3
Nebraska,2017-18,43.3
Nevada,2017-18,34.9
New Hampshire,2017-18,41.7
New Jersey,2017-18,43.7
New Mexico,2017-18,42.5
New York,2017-18,36.6
North Carolina,2017-18,44.6
North Dakota,2017-18,40.5
Ohio,2017-18,40.6
Oklahoma,2017-18,45.5
Oregon,2017-18,39.8
Pennsylvania,2017-18,40.5
United States,2017-18,38.9
Region 1,2017-18,42.6
Region 2,2017-18,39.4
Region 3,2017-18,43.6
Region 4,2017-18,38
Region 5,2017-18,38.3
Region 6,2017-18,34.5
Region 7,2017-18,40.2
Region 8,2017-18,40.3
Region 9,2017-18,37.9
Rhode Island,2017-18,44.8
South Carolina,2017-18,43.3
South Dakota,2017-18,44.1
Tennessee,2017-18,33.2
Texas,2017-18,31.6
Region 10,2017-18,42.2
Utah,2017-18,38.2
Vermont,2017-18,41.8
Virginia,2017-18,46.8
Washington,2017-18,46.6
West Virginia,2017-18,44.8
Wisconsin,2017-18,32.2
Wyoming,2017-18,34.4
Alabama,2017-18,41
Alaska,2017-18,33.7
Arizona,2017-18,34.9
Arkansas,2017-18,38.3
California,2017-18,39
Colorado,2017-18,41
Connecticut,2017-18,43.6
Delaware,2017-18,47
District of Columbia,2017-18,NR
Florida,2017-18,33
Georgia,2017-18,39.1
Hawaii,2017-18,37.6
Idaho,2017-18,33.4
Illinois,2017-18,36.4
Indiana,2017-18,35.3
Iowa,2017-18,45.1
Kansas,2017-18,39.8
Kentucky,2017-18,43.7
Louisiana,2017-18,36.1
Maine,2017-18,35.7
Maryland,2017-18,46
Massachusetts,2017-18,45.1
Michigan,2017-18,38.4
Minnesota,2017-18,46.9
Mississippi,2017-18,38
Missouri,2017-18,37.6
Montana,2017-18,42.3
Nebraska,2017-18,43.3
Nevada,2017-18,34.9
New Hampshire,2017-18,41.7
New Jersey,2017-18,43.7
New Mexico,2017-18,42.7
New York,2017-18,37.1
North Carolina,2017-18,44.6
North Dakota,2017-18,40.5
Ohio,2017-18,41.1
Oklahoma,2017-18,45.5
Oregon,2017-18,40.7
Pennsylvania,2017-18,41.9
United States,2017-18,39.3
Region 1,2017-18,43.3
Region 2,2017-18,39.9
Region 3,2017-18,44.8
Region 4,2017-18,38.4
Region 5,2017-18,38.5
Region 6,2017-18,34.6
Region 7,2017-18,40.4
Region 8,2017-18,40.7
Region 9,2017-18,38.2
Rhode Island,2017-18,44.9
South Carolina,2017-18,44
South Dakota,2017-18,44.3
Tennessee,2017-18,34
Texas,2017-18,31.7
Region 10,2017-18,42.7
Utah,2017-18,39
Vermont,2017-18,41.8
Virginia,2017-18,47.3
Washington,2017-18,46.9
West Virginia,2017-18,46.2
Wisconsin,2017-18,32.6
Wyoming,2017-18,34.4
Alabama,2017-18,41
Alaska,2017-18,33.7
Arizona,2017-18,34.9
Arkansas,2017-18,38.5
California,2017-18,39.3
Colorado,2017-18,42
Connecticut,2017-18,43.6
Delaware,2017-18,47
District of Columbia,2017-18,NR
Florida,2017-18,34.1
Georgia,2017-18,39.2
Hawaii,2017-18,38.4
Idaho,2017-18,33.4
Illinois,2017-18,36.4
Indiana,2017-18,35.3
Iowa,2017-18,45.1
Kansas,2017-18,39.8
Kentucky,2017-18,46.7
Louisiana,2017-18,36.5
Maine,2017-18,35.7
Maryland,2017-18,46.2
Massachusetts,2017-18,45.8
Michigan,2017-18,38.4
Minnesota,2017-18,46.9
Mississippi,2017-18,38
Missouri,2017-18,37.6
Montana,2017-18,42.3
Nebraska,2017-18,43.7
Nevada,2017-18,34.9
New Hampshire,2017-18,41.7
New Jersey,2017-18,43.7
New Mexico,2017-18,42.7
New York,2017-18,37.4
North Carolina,2017-18,45.5
North Dakota,2017-18,40.5
Ohio,2017-18,41.1
Oklahoma,2017-18,46.5
Oregon,2017-18,40.7
Pennsylvania,2017-18,41.9
United States,2017-18,39.7
Region 1,2017-18,43.8
Region 2,2017-18,40.2
Region 3,2017-18,44.8
Region 4,2017-18,39.2
Region 5,2017-18,38.6
Region 6,2017-18,35
Region 7,2017-18,40.5
Region 8,2017-18,41.2
Region 9,2017-18,38.5
Rhode Island,2017-18,44.9
South Carolina,2017-18,45
South Dakota,2017-18,44.3
Tennessee,2017-18,34
Texas,2017-18,32
Region 10,2017-18,43.6
Utah,2017-18,39
Vermont,2017-18,43.8
Virginia,2017-18,47.3
Washington,2017-18,49
West Virginia,2017-18,46.2
Wisconsin,2017-18,33.8
Wyoming,2017-18,34.4
Alabama,2018-19,NR †
Alaska,2018-19,NR †
Arizona,2018-19,NR †
California,2018-19,NR †
Colorado,2018-19,NR †
Connecticut,2018-19,NR †
Delaware,2018-19,NR †
District of Columbia,2018-19,NR
Florida,2018-19,NR †
Georgia,2018-19,NR †
Hawaii,2018-19,NR †
Illinois,2018-19,NR †
Indiana,2018-19,NR †
Iowa,2018-19,NR †
Kentucky,2018-19,NR †
Louisiana,2018-19,NR †
Maine,2018-19,NR †
Massachusetts,2018-19,NR †
Michigan,2018-19,NR †
Minnesota,2018-19,0.1
Missouri,2018-19,NR †
Nevada,2018-19,NR †
New Hampshire,2018-19,NR †
New Jersey,2018-19,NR
New Mexico,2018-19,NR †
New York,2018-19,0.1
North Carolina,2018-19,NR †
North Dakota,2018-19,NR †
Ohio,2018-19,NR †
Oklahoma,2018-19,NR †
Oregon,2018-19,NR †
Pennsylvania,2018-19,NR †
United States,2018-19,0.1
Region 1,2018-19,NR †
Region 2,2018-19,0.1
Region 3,2018-19,0.1
Region 4,2018-19,NR †
Region 5,2018-19,NR †
Region 6,2018-19,0.1
Region 7,2018-19,0.1
Region 8,2018-19,NR †
Region 9,2018-19,NR †
South Carolina,2018-19,NR †
Tennessee,2018-19,NR †
Texas,2018-19,0.1
Region 10,2018-19,0.1
Vermont,2018-19,NR †
Washington,2018-19,NR †
Wisconsin,2018-19,NR †
Wyoming,2018-19,NR †
Alabama,2018-19,NR †
Alaska,2018-19,NR †
Arizona,2018-19,1.4
Arkansas,2018-19,NR †
California,2018-19,1.6
Colorado,2018-19,1.1
Connecticut,2018-19,1.1
Delaware,2018-19,NR †
District of Columbia,2018-19,NR
Florida,2018-19,1.6
Georgia,2018-19,1.4
Hawaii,2018-19,1.6
Idaho,2018-19,NR †
Illinois,2018-19,NR †
Indiana,2018-19,0.8
Iowa,2018-19,1
Kansas,2018-19,1.1
Kentucky,2018-19,NR †
Louisiana,2018-19,NR †
Maine,2018-19,1.3
Maryland,2018-19,1.4
Massachusetts,2018-19,1.1
Michigan,2018-19,1
Minnesota,2018-19,1.3
Mississippi,2018-19,NR †
Missouri,2018-19,NR †
Montana,2018-19,NR †
Nebraska,2018-19,NR †
Nevada,2018-19,NR †
New Hampshire,2018-19,0.7
New Jersey,2018-19,NR
New Mexico,2018-19,NR †
New York,2018-19,0.8
North Carolina,2018-19,1.5
North Dakota,2018-19,NR †
Ohio,2018-19,1.1
Oklahoma,2018-19,NR †
Oregon,2018-19,NR †
Pennsylvania,2018-19,1.5
United States,2018-19,1.3
Region 1,2018-19,1.1
Region 2,2018-19,0.8
Region 3,2018-19,1.4
Region 4,2018-19,1.5
Region 5,2018-19,1
Region 6,2018-19,1.3
Region 7,2018-19,1
Region 8,2018-19,1
Region 9,2018-19,1.6
Rhode Island,2018-19,NR †
South Carolina,2018-19,1.4
South Dakota,2018-19,NR †
Tennessee,2018-19,NR †
Texas,2018-19,1.5
Region 10,2018-19,0.9
Utah,2018-19,0.9
Vermont,2018-19,NR †
Virginia,2018-19,1.4
Washington,2018-19,1.2
West Virginia,2018-19,1.1
Wisconsin,2018-19,NR †
Wyoming,2018-19,NR †
Alabama,2018-19,9
Alaska,2018-19,8.2
Arizona,2018-19,8.8
Arkansas,2018-19,6.8
California,2018-19,9.3
Colorado,2018-19,8.4
Connecticut,2018-19,6.3
Delaware,2018-19,11.1
District of Columbia,2018-19,NR
Florida,2018-19,7.8
Georgia,2018-19,6
Hawaii,2018-19,10.7
Idaho,2018-19,5.8
Illinois,2018-19,7.6
Indiana,2018-19,8.4
Iowa,2018-19,9.3
Kansas,2018-19,8.6
Kentucky,2018-19,8.7
Louisiana,2018-19,7.5
Maine,2018-19,7.3
Maryland,2018-19,9.5
Massachusetts,2018-19,8.5
Michigan,2018-19,8.1
Minnesota,2018-19,8.5
Mississippi,2018-19,6.4
Missouri,2018-19,8
Montana,2018-19,4.6
Nebraska,2018-19,6.9
Nevada,2018-19,7.3
New Hampshire,2018-19,8.3
New Jersey,2018-19,NR
New Mexico,2018-19,7.8
New York,2018-19,7.8
North Carolina,2018-19,7
North Dakota,2018-19,6.2
Ohio,2018-19,9.3
Oklahoma,2018-19,7.3
Oregon,2018-19,6
Pennsylvania,2018-19,10.1
United States,2018-19,8.3
Region 1,2018-19,7.6
Region 2,2018-19,7.8
Region 3,2018-19,9.7
Region 4,2018-19,7.6
Region 5,2018-19,8.1
Region 6,2018-19,8.5
Region 7,2018-19,8.3
Region 8,2018-19,7.5
Region 9,2018-19,9.1
Rhode Island,2018-19,6.9
South Carolina,2018-19,7
South Dakota,2018-19,8.3
Tennessee,2018-19,9.4
Texas,2018-19,9.1
Region 10,2018-19,8.5
Utah,2018-19,7.8
Vermont,2018-19,5.5
Virginia,2018-19,9.9
Washington,2018-19,10.6
West Virginia,2018-19,6.8
Wisconsin,2018-19,6
Wyoming,2018-19,4.6
Alabama,2018-19,28.4
Alaska,2018-19,23.1
Arizona,2018-19,28.8
Arkansas,2018-19,29
California,2018-19,24.8
Colorado,2018-19,32.8
Connecticut,2018-19,32.4
Delaware,2018-19,32.4
District of Columbia,2018-19,NR
Florida,2018-19,19.8
Georgia,2018-19,20.4
Hawaii,2018-19,23.4
Idaho,2018-19,26.2
